idx,source_dataset,stratum,oracle_pred,oracle_correct
407,vqav2,deceptive,"No, it is not a baseball field. The image shows a person standing on grass with a baseball glove, but there are no visible elements such as bases, a pitcher's mound, or a diamond shape that would indicate it is a baseball field.",0.0
409,vqav2,deceptive,"There is no existence of a man or an orange sweater, nor any action related to combing hair in the image description.",0.0
412,vqav2,deceptive,"The image does not show any food on a plate; it depicts a person walking on a sidewalk with a dog, surrounded by trees and buildings. Therefore, there is no information about the food being vegetables or otherwise in this image.",0.0
416,vqav2,deceptive,The red object in the picture appears to be a heart symbol. It is located in the bottom right corner of the image.,0.0
419,vqav2,deceptive,"Yes, there is snow in the image. The scene appears to be set in a snowy environment.",0.0
420,vqav2,deceptive,"No, the image is not of a glass flower vase. It appears to be a text-based image with instructions or information related to ""petal"" and ""vase."" The text seems to be in Spanish and mentions ""petal"" and ""vase,"" but it does not depict an actual glass flower vase.",0.0
428,vqav2,deceptive,"Yes, if it is raining and the man does not have an umbrella, his head will likely get wet.",0.0
429,vqav2,deceptive,There is one vehicle in the picture.,0.0
434,vqav2,deceptive,"The image shows a person driving a car. The title of the person in this context would be ""Driver.""",0.0
436,vqav2,deceptive,The cat is sitting on a bench in a park.,0.0
437,vqav2,deceptive,The cat is sitting on a book.,0.0
440,vqav2,deceptive,The image does not show a cat. It appears to be an illustration of a person holding a shovel and standing in front of a tree with a house in the background. The person seems to be engaged in some sort of gardening or outdoor activity.,0.0
450,vqav2,deceptive,There is one roll of toilet paper in the image.,0.0
452,vqav2,deceptive,The100000000000000000000000000000000000000000000000000000000000000,0.0
463,vqav2,deceptive,"The image shows a bathroom with a toilet, sink, and shower area. The bathroom appears to be clean and well-maintained. There are no visible signs of dirt or grime on the surfaces.",0.0
466,vqav2,deceptive,"The from the image of a white and black background with a white text that says ""10000000000000000000000000000000000000000000000",0.0
470,vqav2,deceptive,"Yes, the toilet in the image appears to be illuminated from above, suggesting that there is a light source present.",0.0
474,vqav2,deceptive,"No, there is no toilet brush in the image. The image shows a person standing on a skateboard.",0.0
479,vqav2,deceptive,"Yes, the toilet lid is up in the image.",0.0
482,vqav2,deceptive,"The image shows a white toilet with a white background and a white background, the image is white and white, the image is white and white, the image is white and white, the white background is white and white, the white background is white and white, the white background is white and white, the white background is",0.0
483,vqav2,deceptive,The100000000000000000000000000000000000000000000000000,0.0
484,vqav2,deceptive,"The image shows a toilet with a visible stain on the seat, indicating that it is indeed dirty.",0.0
489,vqav2,deceptive,The100000000000000000000000000000000000000000000000000000000000000,0.0
490,vqav2,deceptive,"The metal rack on the wall is likely used to hold and organize items such as keys, mail, or other small objects.",0.0
492,vqav2,deceptive,There is one toilet paper roll in the image.,0.0
493,vqav2,deceptive,"The bus is advertising ""Snowman"" and ""Christmas"".",0.0
497,vqav2,deceptive,"The image shows a room with long curtains that extend below the window sill, reaching almost to the floor. This is a common design choice in interior decoration, as it can make the room appear taller and more elegant. The curtains do not appear to be excessively long; they are styled to touch the floor, which is a",0.0
520,textvqa,deceptive,"The image does not show any specific brand advertisements. It appears to be a general advertisement for a product or service, but no brand names are visible in the image.",0.0
673,textvqa,deceptive,"The image shows a glass filled with a clear, bubbly liquid, which is likely a type of soda or carbonated beverage. The presence of bubbles and the clear color suggest it could be something like sparkling water, club soda, or a clear soda like Sprite or 7UP.",0.0
795,textvqa,deceptive,"The title of the game in the poster is ""Sky Castle.""",0.0
804,chartqa,deceptive,The percentage of respondents who say Jobs is a top priority for the president and Congress in 2016 is 52%.,0.0
820,chartqa,deceptive,The percentage of people who are dissatisfied with Spain's democracy is 68%.,0.0
841,chartqa,deceptive,"The maximum value of ""a lot"" among countries is 55%.",0.0
856,chartqa,deceptive,The value 2122 represents the year in which the data was collected or published.,0.0
961,chartqa,deceptive,"No, the combined homicide rate for the 5-14 and Under 5 age groups would not be bigger than the homicide rate for All Ages. The graph shows that the homicide rate for All Ages is higher than the rates for any individual age group. Therefore, even if you combine the rates for two smaller age",0.0
988,chartqa,deceptive,The age group that recorded the highest daily rates of bipolar disorder in Argentina is 65-74 years old.,0.0
989,chartqa,deceptive,The given graph does not mention any specific age groups.,0.0
991,chartqa,deceptive,The region that saw the highest proportion of accreditation over the given years is Africa.,0.0
993,chartqa,deceptive,Latvia has had higher access to clean fuels for cooking over the years compared to Belize.,0.0
995,chartqa,deceptive,Zambia recorded the higher prevalence of Anemia in women over the years compared to Bahamas.,0.0
1002,chartqa,deceptive,The orange line represents the United States.,0.0
1004,chartqa,deceptive,The graph shows two drugs: heroin and cocaine.,0.0
1054,chartqa,deceptive,"Yes, the crude oil import price is greater than 25$/barrel in 1984.",0.0
1099,chartqa,deceptive,"No, the median of the green bar is not greater than the largest value of the gray bar. The median of the green bar is approximately 10, while the largest value of the gray bar is approximately 12.",0.0
1106,chartqa,deceptive,"The net value of the ""All Teens"" bar is 100%.",0.0
1122,chartqa,deceptive,"According to the given information, 17% of White believes that race or ethnicity should be a major factor in college admission decisions.",0.0
1131,chartqa,deceptive,"The ratio of people who have confidence in President Trump to those who don't in Venezuela is 1:4. This is derived from the bar graph where the confidence level is represented by the second bar, which has a value of 20%, and the lack of confidence is represented by the first bar, which has",0.0
1155,chartqa,deceptive,"The top three groups that favor weakening the EU are the UK, France, and Germany.",0.0
1200,chartqa,deceptive,"The top place in the chart is ""Source: Pew Research Center Teen Relationships Survey, Sept. 25-Oct. 9, 2014, and Feb. 10-March 16, 2015.""",0.0
1237,chartqa,deceptive,The country with the highest government production costs over the given years is the United States.,0.0
1276,chartqa,deceptive,The percentage market share of NEXANS for offshore wind farms in Europe in 2020 is 15%.,0.0
1308,realworldqa,deceptive,"The image contains a series of numbers and letters that appear to be randomly arranged, without any clear pattern or structure. It seems like a mix of alphanumeric characters, possibly representing a code, password, or some form of encrypted data. However, without additional context or information about the intended purpose or meaning behind these characters, it",0.0
1324,realworldqa,deceptive,C.,0.0
1332,realworldqa,deceptive,A.,1.0
1336,realworldqa,deceptive,1,0.0
1360,realworldqa,deceptive,Yes,1.0
1380,realworldqa,deceptive,No,0.0
1387,realworldqa,deceptive,1,1.0
1402,realworldqa,deceptive,A,0.0
1404,realworldqa,deceptive,"The given text is a series of random characters and symbols that do not form any coherent sentences or convey any meaningful information. It appears to be a mix of letters, numbers, and special characters without any recognizable patterns or structures. Therefore, it cannot be classified as a specific type of text such as a news article, scientific",0.0
1427,realworldqa,deceptive,55,0.0
1444,realworldqa,deceptive,B.,0.0
1495,realworldqa,deceptive,2,0.0
